dataset,epochs,way,train_shot,test_shot,dld,optimizer,x_dim,z_dim,lr,initialization,loss,trials,silent,split,gpu,test_batch,full_test,save_data,table_dataset,svd_version,accuracy,add_rotations,channels,duration_sec,in_alphabet
covtype,3,7,1,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.3114285714285714,1.0,1.0,134.78010034561157,0.0
covtype,3,7,1,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.3542857142857143,1.0,1.0,57.171165466308594,0.0
covtype,3,7,10,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.4842857142857141,1.0,1.0,57.31488251686096,0.0
covtype,3,7,10,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.4999999999999999,1.0,1.0,57.70983934402466,0.0
covtype,3,7,50,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.5457142857142857,1.0,1.0,61.99808359146118,0.0
covtype,3,7,50,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.5457142857142856,1.0,1.0,64.8378038406372,0.0
covtype,3,7,100,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.56,1.0,1.0,68.9021520614624,0.0
covtype,3,7,100,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.5428571428571428,1.0,1.0,73.56245350837708,0.0
covtype,3,7,200,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.1814285714285713,1.0,1.0,78.98835229873657,0.0
covtype,3,7,200,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.177142857142857,1.0,1.0,85.82970762252808,0.0
covtype,3,7,300,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.1928571428571428,1.0,1.0,89.78525185585022,0.0
covtype,3,7,300,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.2042857142857142,1.0,1.0,92.53133535385132,0.0
covtype,10,7,1,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.3114285714285714,1.0,1.0,60.6061851978302,0.0
covtype,10,7,1,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.3542857142857143,1.0,1.0,60.72170948982239,0.0
covtype,10,7,10,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.4842857142857141,1.0,1.0,61.38412857055664,0.0
covtype,10,7,10,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.4999999999999999,1.0,1.0,62.02074837684631,0.0
covtype,10,7,50,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.5457142857142857,1.0,1.0,64.69061779975891,0.0
covtype,10,7,50,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.5457142857142856,1.0,1.0,65.08730483055115,0.0
covtype,10,7,100,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.56,1.0,1.0,68.15500497817993,0.0
covtype,10,7,100,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.5428571428571428,1.0,1.0,69.57950806617737,0.0
covtype,10,7,200,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.1814285714285713,1.0,1.0,80.62158942222595,0.0
covtype,10,7,200,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.177142857142857,1.0,1.0,81.90702199935913,0.0
covtype,10,7,300,1,True,adam,54,1000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.1928571428571428,1.0,1.0,90.79838705062866,0.0
covtype,10,7,300,1,True,adam,54,2000,0.01,xavier_normal,MSELoss(),100,True,train,2,2000,False,False,True,2,0.2042857142857142,1.0,1.0,94.52719044685364,0.0
