dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec,table_dataset
customer,3,2,1,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.49,5.914730310440064,1.0
customer,3,2,1,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.49,1.9813926219940183,1.0
customer,3,2,1,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.485,1.8955409526824951,1.0
customer,3,2,10,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.51,1.8800950050354004,1.0
customer,3,2,10,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.49,1.6501185894012451,1.0
customer,3,2,10,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.49,1.5545272827148438,1.0
customer,3,2,50,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.49,4.424565076828003,1.0
customer,3,2,50,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.48,4.616675138473511,1.0
customer,3,2,50,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.48,4.130270957946777,1.0
customer,3,2,100,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.51,7.237000703811645,1.0
customer,3,2,100,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.505,7.199938058853149,1.0
customer,3,2,100,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.505,8.843830585479736,1.0
customer,3,2,200,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.585,12.04631733894348,1.0
customer,3,2,200,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.53,12.930776596069336,1.0
customer,3,2,200,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.52,14.077592372894289,1.0
customer,3,2,300,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.665,18.20583486557007,1.0
customer,3,2,300,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.505,19.1837477684021,1.0
customer,3,2,300,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.51,17.77802300453186,1.0
customer,10,2,1,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.5,3.592156171798706,1.0
customer,10,2,1,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.49,3.4155797958374023,1.0
customer,10,2,1,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.49,3.551234245300293,1.0
customer,10,2,10,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.505,3.89522933959961,1.0
customer,10,2,10,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.49,4.2540247440338135,1.0
customer,10,2,10,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.485,4.207880020141602,1.0
customer,10,2,50,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.545,12.578384637832642,1.0
customer,10,2,50,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.5,12.196668863296509,1.0
customer,10,2,50,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.485,14.569927453994753,1.0
customer,10,2,100,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.605,21.26855683326721,1.0
customer,10,2,100,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.51,22.98917579650879,1.0
customer,10,2,100,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.495,21.14773392677307,1.0
customer,10,2,200,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.745,41.73924922943115,1.0
customer,10,2,200,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.54,40.67546463012695,1.0
customer,10,2,200,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.545,41.83081364631653,1.0
customer,10,2,300,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.695,58.85405230522156,1.0
customer,10,2,300,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.515,58.6960813999176,1.0
customer,10,2,300,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,test,False,True,1,1407,False,False,0.52,59.00960278511048,1.0
customer,3,2,1,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.55,5.638349533081055,1.0
customer,3,2,1,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.54,2.5356245040893555,1.0
customer,3,2,1,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.535,2.510110855102539,1.0
customer,3,2,10,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.515,2.018590450286865,1.0
customer,3,2,10,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.5,2.469776153564453,1.0
customer,3,2,10,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.5,2.3633203506469727,1.0
customer,3,2,50,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.59,3.6965622901916495,1.0
customer,3,2,50,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.53,3.87187123298645,1.0
customer,3,2,50,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.525,3.494317054748535,1.0
customer,3,2,100,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.6,5.201420068740845,1.0
customer,3,2,100,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.555,5.170206308364868,1.0
customer,3,2,100,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.535,5.1935200691223145,1.0
customer,3,2,200,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.62,7.985362768173218,1.0
customer,3,2,200,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.52,8.085899591445923,1.0
customer,3,2,200,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.515,7.98405385017395,1.0
customer,3,2,300,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.565,10.116017818450928,1.0
customer,3,2,300,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.485,10.227166414260864,1.0
customer,3,2,300,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.48,11.140037536621094,1.0
customer,10,2,1,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.55,2.947906732559204,1.0
customer,10,2,1,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.55,3.075695276260376,1.0
customer,10,2,1,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.54,3.15332293510437,1.0
customer,10,2,10,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.555,3.578660726547241,1.0
customer,10,2,10,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.505,3.4919703006744385,1.0
customer,10,2,10,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.495,3.260322570800781,1.0
customer,10,2,50,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.67,7.3432066440582275,1.0
customer,10,2,50,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.55,7.510383605957031,1.0
customer,10,2,50,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.54,7.227988243103027,1.0
customer,10,2,100,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.665,11.695159435272217,1.0
customer,10,2,100,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.575,11.63290548324585,1.0
customer,10,2,100,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.565,11.702654838562012,1.0
customer,10,2,200,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.74,20.327682495117188,1.0
customer,10,2,200,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.57,19.96134281158448,1.0
customer,10,2,200,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.525,20.11062073707581,1.0
customer,10,2,300,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.665,27.79536819458008,1.0
customer,10,2,300,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.52,27.24185872077942,1.0
customer,10,2,300,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.5,28.62158417701721,1.0
customer,3,2,1,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.55,5.321333885192871,1.0
customer,3,2,1,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.55,5.174503564834595,1.0
customer,3,2,1,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.54,2.529914379119873,1.0
customer,3,2,1,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,1,1407,False,False,0.535,2.062401056289673,1.0
customer,3,2,50,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.59,10.536210536956789,1.0
customer,3,2,50,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.53,4.498857736587524,1.0
customer,3,2,50,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.525,5.7919602394104,1.0
customer,3,2,200,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.62,9.919708251953123,1.0
customer,3,2,200,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.52,10.835515975952148,1.0
customer,3,2,200,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.515,11.019231081008911,1.0
customer,10,2,50,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.67,10.12390661239624,1.0
customer,10,2,50,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.55,11.13354516029358,1.0
customer,10,2,50,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.54,12.010288715362549,1.0
customer,10,2,200,1,41,adam,0.001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.74,27.705486297607425,1.0
customer,10,2,200,1,41,adam,0.0001,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.57,26.927302360534668,1.0
customer,10,2,200,1,41,adam,5e-05,0,CrossEntropyLoss(),100,32,True,train,False,True,3,1407,False,False,0.525,25.879409551620483,1.0
