dataset,epochs,way,train_shot,test_shot,x_dim,hidden_size,hidden_layers,nonlinearity,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,log_accuracy,accuracy,duration_sec
svhn,5,10,1,1,32,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.0989999999999999,15.71186113357544
svhn,5,10,1,1,32,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.0949999999999999,11.02015733718872
svhn,5,10,1,1,32,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.0959999999999999,10.16750979423523
svhn,5,10,10,1,32,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.1039999999999999,17.625059366226196
svhn,5,10,10,1,32,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.109,17.116336345672607
svhn,5,10,10,1,32,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.0999999999999999,17.536359310150146
svhn,5,10,50,1,32,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.111,44.46748781204224
svhn,5,10,50,1,32,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.1239999999999999,44.1985170841217
svhn,5,10,50,1,32,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.118,42.792848348617554
svhn,5,10,100,1,32,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.1039999999999999,75.21995949745178
svhn,5,10,100,1,32,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.1079999999999999,74.38815784454346
svhn,5,10,100,1,32,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.114,72.13819646835327
svhn,5,10,200,1,32,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.1069999999999999,134.646737575531
svhn,5,10,200,1,32,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.1109999999999999,136.24222803115845
svhn,5,10,200,1,32,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.106,137.0958502292633
svhn,5,10,300,1,32,256,2,relu,adam,0.001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.102,200.07481622695923
svhn,5,10,300,1,32,256,2,relu,adam,0.0001,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.1199999999999999,194.53345489501956
svhn,5,10,300,1,32,256,2,relu,adam,5e-05,3,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,False,True,True,0.12899999999999998,192.04708075523376
