dataset,way,train_shot,test_shot,max_depth,x_dim,channels,trials,split,in_alphabet,add_rotations,test_batch,full_test,save_data,accuracy,duration_sec
svhn,10,1,1,1,32,3,100,test,False,True,2000,False,False,0.1029999999999999,26.5602548122406
svhn,10,1,1,3,32,3,100,test,False,True,2000,False,False,0.106,5.136250257492065
svhn,10,1,1,5,32,3,100,test,False,True,2000,False,False,0.1059999999999999,5.392359018325806
svhn,10,1,1,7,32,3,100,test,False,True,2000,False,False,0.1109999999999999,5.6207263469696045
svhn,10,1,1,10,32,3,100,test,False,True,2000,False,False,0.108,6.145903587341309
svhn,10,1,1,20,32,3,100,test,False,True,2000,False,False,0.114,5.880590200424194
svhn,10,1,1,30,32,3,100,test,False,True,2000,False,False,0.091,5.6242406368255615
svhn,10,1,1,50,32,3,100,test,False,True,2000,False,False,0.1129999999999999,5.495476484298706
svhn,10,1,1,100,32,3,100,test,False,True,2000,False,False,0.118,5.868182182312012
svhn,10,10,1,1,32,3,100,test,False,True,2000,False,False,0.104,8.823395729064941
svhn,10,10,1,3,32,3,100,test,False,True,2000,False,False,0.103,17.932342767715454
svhn,10,10,1,5,32,3,100,test,False,True,2000,False,False,0.105,22.180472135543823
svhn,10,10,1,7,32,3,100,test,False,True,2000,False,False,0.121,26.138458490371704
svhn,10,10,1,10,32,3,100,test,False,True,2000,False,False,0.1279999999999999,28.60518264770508
svhn,10,10,1,20,32,3,100,test,False,True,2000,False,False,0.139,30.04904198646545
svhn,10,10,1,30,32,3,100,test,False,True,2000,False,False,0.1299999999999999,30.756773471832275
svhn,10,10,1,50,32,3,100,test,False,True,2000,False,False,0.11,30.373836755752563
svhn,10,10,1,100,32,3,100,test,False,True,2000,False,False,0.1139999999999999,29.25880241394043
svhn,10,50,1,1,32,3,100,test,False,True,2000,False,False,0.0979999999999999,22.198858499526978
svhn,10,50,1,3,32,3,100,test,False,True,2000,False,False,0.12,50.733951807022095
svhn,10,50,1,5,32,3,100,test,False,True,2000,False,False,0.132,77.84364295005798
svhn,10,50,1,7,32,3,100,test,False,True,2000,False,False,0.1369999999999999,95.77446269989014
svhn,10,50,1,10,32,3,100,test,False,True,2000,False,False,0.145,131.1864879131317
svhn,10,50,1,20,32,3,100,test,False,True,2000,False,False,0.167,170.9709689617157
svhn,10,50,1,30,32,3,100,test,False,True,2000,False,False,0.166,182.98277235031128
svhn,10,50,1,50,32,3,100,test,False,True,2000,False,False,0.165,181.7180299758911
svhn,10,50,1,100,32,3,100,test,False,True,2000,False,False,0.16,177.8487207889557
svhn,10,100,1,1,32,3,100,test,False,True,2000,False,False,0.111,34.19324231147766
svhn,10,100,1,3,32,3,100,test,False,True,2000,False,False,0.1249999999999999,84.53450632095337
svhn,10,100,1,5,32,3,100,test,False,True,2000,False,False,0.136,138.64698314666748
svhn,10,100,1,7,32,3,100,test,False,True,2000,False,False,0.156,184.5041580200196
svhn,10,100,1,10,32,3,100,test,False,True,2000,False,False,0.18,241.49341464042664
svhn,10,100,1,20,32,3,100,test,False,True,2000,False,False,0.185,324.8966598510742
svhn,10,100,1,30,32,3,100,test,False,True,2000,False,False,0.2019999999999999,344.1630012989044
svhn,10,100,1,50,32,3,100,test,False,True,2000,False,False,0.214,425.9279663562775
svhn,10,100,1,100,32,3,100,test,False,True,2000,False,False,0.211,390.0828049182892
svhn,10,200,1,1,32,3,100,test,False,True,2000,False,False,0.1059999999999999,63.38062858581543
svhn,10,200,1,3,32,3,100,test,False,True,2000,False,False,0.127,175.72666716575625
svhn,10,200,1,5,32,3,100,test,False,True,2000,False,False,0.182,278.361074924469
svhn,10,200,1,7,32,3,100,test,False,True,2000,False,False,0.21,372.7455506324768
svhn,10,200,1,10,32,3,100,test,False,True,2000,False,False,0.2239999999999999,491.4163625240326
svhn,10,200,1,20,32,3,100,test,False,True,2000,False,False,0.231,655.6638667583466
svhn,10,200,1,30,32,3,100,test,False,True,2000,False,False,0.209,678.6718010902405
svhn,10,200,1,50,32,3,100,test,False,True,2000,False,False,0.239,679.8481662273407
svhn,10,200,1,100,32,3,100,test,False,True,2000,False,False,0.238,668.9738607406616
svhn,10,300,1,1,32,3,100,test,False,True,2000,False,False,0.1029999999999999,77.48412156105042
svhn,10,300,1,3,32,3,100,test,False,True,2000,False,False,0.1189999999999999,212.40487408638
svhn,10,300,1,5,32,3,100,test,False,True,2000,False,False,0.183,357.5760109424591
svhn,10,300,1,7,32,3,100,test,False,True,2000,False,False,0.219,503.51159024238586
svhn,10,300,1,10,32,3,100,test,False,True,2000,False,False,0.2309999999999999,688.9151401519775
svhn,10,300,1,20,32,3,100,test,False,True,2000,False,False,0.2659999999999999,920.7577950954436
svhn,10,300,1,30,32,3,100,test,False,True,2000,False,False,0.286,948.7813005447388
svhn,10,300,1,50,32,3,100,test,False,True,2000,False,False,0.298,981.762940645218
svhn,10,300,1,100,32,3,100,test,False,True,2000,False,False,0.28,970.7032701969147
