dataset,epochs,way,train_shot,test_shot,x_dim,optimizer,lr,channels,loss,trials,batch_size,silent,split,in_alphabet,add_rotations,gpu,test_batch,full_test,save_data,accuracy,duration_sec
omniglot,3,10,1,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.17699199999999998,62.45902156829834
omniglot,3,10,1,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.102577,61.16114473342896
omniglot,3,10,5,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.3268,65.33382272720337
omniglot,3,10,5,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.11328699999999994,67.59615421295166
omniglot,3,10,10,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.45974,67.46088218688965
omniglot,3,10,10,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.12987700000000002,66.41462969779968
omniglot,3,10,50,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7881640000000002,71.26103186607361
omniglot,3,10,50,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.296696,69.49533438682556
omniglot,3,10,100,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8301619999999997,72.70504474639894
omniglot,3,10,100,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.4962650000000001,74.04051303863525
omniglot,3,10,200,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8609399999999999,78.62274551391602
omniglot,3,10,200,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6945880000000001,80.46071934700012
omniglot,10,10,1,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.316261,61.135246753692634
omniglot,10,10,1,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.12165199999999995,61.31669616699219
omniglot,10,10,5,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.5687800000000001,68.44860315322876
omniglot,10,10,5,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.163096,67.29762196540833
omniglot,10,10,10,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6791799999999999,68.5343692302704
omniglot,10,10,10,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.224268,65.84262919425964
omniglot,10,10,50,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8393069999999999,77.3058638572693
omniglot,10,10,50,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.6481150000000001,78.03142237663269
omniglot,10,10,100,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.870801,91.29718208312988
omniglot,10,10,100,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.7692659999999999,89.83939361572266
omniglot,10,10,200,1,28,adam,0.001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.8915879999999999,110.79924273490906
omniglot,10,10,200,1,28,adam,0.0001,1,CrossEntropyLoss(),100,32,True,test,False,True,1,2000,True,False,0.820855,104.06532669067383
